ZipCode,population,total_units,med_inc,dog_count
10010,33193.0,19033.0,131635.0,861
10029,77661.0,36798.0,33901.0,868
11209,72938.0,33683.0,84145.0,944
11385,109111.0,39959.0,77350.0,945
11217,42107.0,20103.0,133269.0,965
11101,33789.0,23015.0,98920.0,968
10021,42484.0,30022.0,136060.0,979
10014,29815.0,21850.0,136559.0,994
10312,63935.0,22742.0,100875.0,995
10314,93736.0,33793.0,94578.0,1012
10003,54447.0,30843.0,137533.0,1041
10016,56758.0,36328.0,136431.0,1099
10028,47793.0,29860.0,149789.0,1142
10019,43989.0,32989.0,105538.0,1181
11238,58597.0,28218.0,114427.0,1202
10009,60000.0,31857.0,77551.0,1285
10024,63916.0,36322.0,153177.0,1473
10011,51867.0,34964.0,139343.0,1485
10128,58147.0,35628.0,127919.0,1517
10023,65891.0,45139.0,136109.0,1661
11215,73419.0,32140.0,156930.0,1749
11201,68777.0,33948.0,148282.0,1827
10025,96918.0,47891.0,103440.0,1979
